,City,Lat,Lng,Max Temp,Humidity,cloudiness,Wind Speed,Country,Date
364,karachi,24.91,67.08,66.2,88,0,5.73,PK,1604024032
365,necochea,-38.55,-58.74,43.5,74,0,1.32,AR,1604024032
366,sinnamary,5.38,-52.95,81.77,83,99,13.96,GF,1604024032
367,college,64.86,-147.8,17.6,72,90,5.82,US,1604023840
368,raton,36.9,-104.44,39.99,83,1,6.93,US,1604024032
369,heilbron,-27.28,27.97,61.77,31,12,3.96,ZA,1604024032
370,nokaneng,-19.67,22.27,73.72,36,36,4.38,BW,1604024032
371,antalaha,-14.9,50.28,70.81,88,69,9.46,MG,1604023889
372,kang,-23.68,22.79,73.94,31,96,6.08,BW,1604024033
373,brae,60.4,-1.35,50.0,100,100,33.33,GB,1604023889
374,itupeva,-23.15,-47.06,68.0,94,100,11.41,BR,1604024033
375,fort nelson,58.81,-122.7,26.58,97,100,3.11,CA,1604023800
376,maceio,-9.67,-35.74,75.2,94,75,6.93,BR,1604023873
377,makokou,0.57,12.86,67.62,91,99,1.72,GA,1604024033
378,benito juarez,19.39,-99.17,69.8,32,40,13.87,MX,1604023790
379,vila velha,-20.33,-40.29,79.0,83,75,11.41,BR,1604023818
380,comodoro rivadavia,-45.87,-67.5,50.0,66,0,1.12,AR,1604023679
381,merauke,-8.47,140.33,85.8,61,0,8.93,ID,1604023881
382,adrar,20.5,-10.07,79.72,16,100,8.32,MR,1604023835
383,zalantun,48.0,122.72,36.79,69,72,7.76,CN,1604024034
